*{"timestamp": "08:00:00", "x": 115.08, "y": 556.80}
*{"timestamp": "08:01:00", "x": 114.94, "y": 556.27}
*{"timestamp": "08:02:00", "x": 114.79, "y": 555.74}
*{"timestamp": "08:03:00", "x": 114.64, "y": 555.21}
*{"timestamp": "08:04:00", "x": 114.50, "y": 554.67}
*{"timestamp": "08:05:00", "x": 114.35, "y": 554.13}
*{"timestamp": "08:06:00", "x": 114.20, "y": 553.58}
*{"timestamp": "08:07:00", "x": 114.05, "y": 553.03}
*{"timestamp": "08:08:00", "x": 113.90, "y": 552.48}
*{"timestamp": "08:09:00", "x": 113.75, "y": 551.94}
*{"timestamp": "08:10:00", "x": 113.60, "y": 551.40}
*{"timestamp": "08:11:00", "x": 113.45, "y": 550.87}
*{"timestamp": "08:12:00", "x": 113.31, "y": 550.33}
*{"timestamp": "08:13:00", "x": 113.16, "y": 549.80}
*{"timestamp": "08:14:00", "x": 113.01, "y": 549.26}
*{"timestamp": "08:15:00", "x": 112.86, "y": 548.71}
*{"timestamp": "08:16:00", "x": 112.71, "y": 548.17}
*{"timestamp": "08:17:00", "x": 112.56, "y": 547.62}
*{"timestamp": "08:18:00", "x": 112.41, "y": 547.07}
*{"timestamp": "08:19:00", "x": 112.26, "y": 546.51}
*{"timestamp": "08:20:00", "x": 112.11, "y": 545.95}
*{"timestamp": "08:21:00", "x": 111.95, "y": 545.39}
*{"timestamp": "08:22:00", "x": 111.80, "y": 544.83}
*{"timestamp": "08:23:00", "x": 111.64, "y": 544.26}
*{"timestamp": "08:24:00", "x": 111.49, "y": 543.69}
*{"timestamp": "08:25:00", "x": 111.33, "y": 543.12}
*{"timestamp": "08:26:00", "x": 111.17, "y": 542.55}
*{"timestamp": "08:27:00", "x": 111.02, "y": 542.01}
*{"timestamp": "08:28:00", "x": 110.88, "y": 541.47}
*{"timestamp": "08:29:00", "x": 110.73, "y": 540.93}
*{"timestamp": "08:30:00", "x": 110.58, "y": 540.38}
*{"timestamp": "08:31:00", "x": 110.43, "y": 539.83}
*{"timestamp": "08:32:00", "x": 110.28, "y": 539.29}
*{"timestamp": "08:33:00", "x": 110.13, "y": 538.75}
*{"timestamp": "08:34:00", "x": 109.98, "y": 538.20}
*{"timestamp": "08:35:00", "x": 109.82, "y": 537.62}
*{"timestamp": "08:36:00", "x": 109.66, "y": 537.03}
*{"timestamp": "08:37:00", "x": 109.50, "y": 536.43}
*{"timestamp": "08:38:00", "x": 109.33, "y": 535.82}
*{"timestamp": "08:39:00", "x": 109.16, "y": 535.21}
*{"timestamp": "08:40:00", "x": 108.99, "y": 534.59}
*{"timestamp": "08:41:00", "x": 108.82, "y": 533.97}
*{"timestamp": "08:42:00", "x": 108.65, "y": 533.35}
*{"timestamp": "08:43:00", "x": 108.48, "y": 532.71}
*{"timestamp": "08:44:00", "x": 108.30, "y": 532.07}
*{"timestamp": "08:45:00", "x": 108.09, "y": 531.30}
*{"timestamp": "08:46:00", "x": 107.89, "y": 530.54}
*{"timestamp": "08:47:00", "x": 107.68, "y": 529.77}
*{"timestamp": "08:48:00", "x": 107.46, "y": 528.99}
*{"timestamp": "08:49:00", "x": 107.25, "y": 528.22}
*{"timestamp": "08:50:00", "x": 107.04, "y": 527.43}
*{"timestamp": "08:51:00", "x": 106.82, "y": 526.63}
*{"timestamp": "08:52:00", "x": 106.60, "y": 525.83}
*{"timestamp": "08:53:00", "x": 106.39, "y": 525.04}
*{"timestamp": "08:54:00", "x": 106.17, "y": 524.23}
*{"timestamp": "08:55:00", "x": 105.95, "y": 523.43}
*{"timestamp": "08:56:00", "x": 105.73, "y": 522.62}
*{"timestamp": "08:57:00", "x": 105.51, "y": 521.81}
*{"timestamp": "08:58:00", "x": 105.29, "y": 520.98}
*{"timestamp": "08:59:00", "x": 105.06, "y": 520.14}
*{"timestamp": "09:00:00", "x": 104.04, "y": 516.42}
*{"timestamp": "09:01:00", "x": 103.81, "y": 515.57}
*{"timestamp": "09:02:00", "x": 103.58, "y": 514.71}
*{"timestamp": "09:03:00", "x": 103.35, "y": 513.86}
*{"timestamp": "09:04:00", "x": 103.13, "y": 513.01}
*{"timestamp": "09:05:00", "x": 102.90, "y": 512.16}
*{"timestamp": "09:06:00", "x": 102.67, "y": 511.31}
*{"timestamp": "09:07:00", "x": 102.45, "y": 510.46}
